asin,brand,product_title,price,image
B00A2V7ULY,Nokia,"Nokia Lumia 920, Yellow 32GB (AT&T)",184.18,https://m.media-amazon.com/images/I/71kn06zWzvL._AC_UY218_ML3_.jpg
B00A408AF8,Samsung,"Samsung Galaxy Express, Gray 8GB (AT&T)",389.28,https://m.media-amazon.com/images/I/816B5o+yZkL._AC_UY218_ML3_.jpg
B00A7F57EM,Nokia,Nokia Lumia 822 16GB Windows Phone Black - Verizon,204.16,https://m.media-amazon.com/images/I/81jxGoYUWTL._AC_UY218_ML3_.jpg
B00A7F5M9W,Nokia,"Nokia Lumia 822, White 16GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/81OtSgABAYL._AC_UY218_ML3_.jpg
B00ACZ0DUA,Nokia,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,182.25,https://m.media-amazon.com/images/I/51FCiU2tJ8L._AC_UY218_ML3_.jpg
B00B5081MI,Samsung,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",114.99,https://m.media-amazon.com/images/I/51gbQhGQWWL._AC_UY218_ML3_.jpg
B00BV1MVJ0,Samsung,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",144.71,https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg
B00CEKXJ3Y,Samsung,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",0.0,https://m.media-amazon.com/images/I/71s9fDfT7UL._AC_UY218_ML3_.jpg
B00CEKXZA6,Samsung,"Samsung Galaxy S4, White Frost 16GB (Sprint)",0.0,https://m.media-amazon.com/images/I/81vLTvMW6DL._AC_UY218_ML3_.jpg
B00CGIULGC,Samsung,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,0.0,https://m.media-amazon.com/images/I/81hxAMIxAeL._AC_UY218_ML3_.jpg
B00CQAODG4,Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/41zkjf9ksSL._AC_UY218_ML3_.jpg
B00CS2ZWKQ,Nokia,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,0.0,https://m.media-amazon.com/images/I/81MoEhAZS2L._AC_UY218_ML3_.jpg
B00D35Z6OE,HUAWEI,Huawei Glory Android Prepaid Phone (Net10),27.9,https://m.media-amazon.com/images/I/81iP8QUNElL._AC_UY218_ML3_.jpg
B00D99ZBR6,Samsung,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),89.0,https://m.media-amazon.com/images/I/61NDR6WOqPL._AC_UY218_ML3_.jpg
B00E45043A,Nokia,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),59.99,https://m.media-amazon.com/images/I/71X1D2B1IKL._AC_UY218_ML3_.jpg
B00E6FGSHY,Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",154.97,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg
B00E8TGT1S,Nokia,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,0.0,https://m.media-amazon.com/images/I/61huy0bRgEL._AC_UY218_ML3_.jpg
B00EP2BN00,Samsung,"Samsung Convoy 3, Gray (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/71Q7aSSyOkL._AC_UY218_ML3_.jpg
B00F1HVZ0Q,Samsung,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,229.99,https://m.media-amazon.com/images/I/51hnjqGbVqL._AC_UY218_ML3_.jpg
B00F2SKPIM,Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/91eFtaIWpcL._AC_UY218_ML3_.jpg
B00F3JPKCG,Nokia,"Nokia Lumia 925, Black 16GB (AT&T)",54.99,https://m.media-amazon.com/images/I/81buw9ag-VL._AC_UY218_ML3_.jpg
B00F9RRVUG,Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,102.0,https://m.media-amazon.com/images/I/415nK4G4hJL._AC_UY218_ML3_.jpg
B00FTV382C,Samsung,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",299.0,https://m.media-amazon.com/images/I/61pNvD+KDoL._AC_UY218_ML3_.jpg
B00G9G0HTI,Samsung,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",79.0,https://m.media-amazon.com/images/I/81QMC1LvX0L._AC_UY218_ML3_.jpg
B00HE5834Y,Motorola,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,249.99,https://m.media-amazon.com/images/I/81p5bS9i6dL._AC_UY218_ML3_.jpg
B00HPP3QD6,Motorola,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),64.99,https://m.media-amazon.com/images/I/81VuPb8-arL._AC_UY218_ML3_.jpg
